created_at,text,retweet_count,favourite_count
2021-08-24 07:34:22,"Chinese tech stocks rally as https://t.co/l0RHwJq452 surges 13%, Tencent climbs 7% https://t.co/QiP7haEoEF",21,52
2021-08-25 10:34:17,"""We swapped out of other names that continue to be in harm's way.""

Cathie Wood explains to @carolmassar why she re… https://t.co/wlYj3BTFFH",4,19
2021-08-25 15:03:34,$MF: Missfresh Ltd. sales on https://t.co/uhasAAc1Ja's (JD) platforms up by 389% since commencing collaboration in… https://t.co/Kz8sLAZEyZ,0,0
2021-08-25 14:48:46,WSJmarkets: Shares of Pinduoduo and https://t.co/nfTaqdnOP2 rallied after the companies reported sales jumps and hi… https://t.co/Ye4obWQEPe,0,0
2021-08-25 14:45:06,Shares of Pinduoduo and https://t.co/XrmiDqOQQa rallied after the companies reported sales jumps and highlighted th… https://t.co/sz23diJsuj,3,8
2021-08-25 14:32:01,#Options Flow Grid Update $JD #OptionsTrading https://t.co/L6bLuXd45V Shares 🔻0.6% to $74.77 #OptionsFlow… https://t.co/CW0tk94wAG,0,0
2021-08-25 14:16:28,$MF NEW ARTICLE : Missfresh's Sales on https://t.co/1I0lflYWcL's Platforms Up by 389% Since Commencing Collaboratio… https://t.co/RDdUlvLE0T,0,0
2021-08-25 13:42:01,"3 Reasons to Buy https://t.co/7y3aESeCNF, and 1 Reason to Sell @themotleyfool #stocks $JD $BABA $PDD https://t.co/ce6K2914g9",0,0
2021-08-25 13:36:07,"$MF - MissFresh's https://t.co/hPAZspW8cA platform sales are up 389% since partnership
Cap size: small, Float 46.0%… https://t.co/GJwUMpGAlh",0,1
2021-08-25 13:09:32,"Top 10 trending stocks on WallStreetBets as of Aug 25, 2021

1. GameStop $GME
2. AMC Entertainment $AMC
3. Alibaba… https://t.co/2yLa8t2kgN",0,2
2021-08-25 13:08:11,"Missfresh's sales on https://t.co/aJmy1PDzX2's platforms up by 389% since April 
$MF $JD",1,1
2021-08-25 13:06:19,Missfresh Says Has Seen 389% Increase In Sales On https://t.co/OLYGKavsrr Since Commencing Collaboration In April $MF $JD,0,1
2021-08-25 13:03:46,"Missfresh's sales on https://t.co/r3S2rIjhFn's platforms up by 389% since April 
$MF $JD",0,1
2021-08-25 13:03:08,"$MF Missfresh's Sales on https://t.co/o7UWNUIaFj's Platforms Up by 389% Since Commencing Collaboration in April
https://t.co/v24ufPY0lk",0,0
2021-08-25 13:01:24,"$MF Missfresh's Sales on https://t.co/CqDSmTAV38's Platforms Up by 389% Since Commencing Collaboration in April
https://t.co/Nm5ECi7HEi",0,1
2021-08-24 07:33:16,"Chinese technology stocks rallied for a second day, as sentiment was boosted by #Tencent's stock buyback and as… https://t.co/frlBxEkkDJ",0,0
2021-08-24 07:33:04,"https://t.co/pKjQpXLQPK Beats Estimates, Adds Record New Users amid Regulatory Tightening https://t.co/5rQsjIRQTj https://t.co/HowN3AdGHv",0,0
2021-08-24 07:33:04,"https://t.co/vcCNZQ05sI Beats Estimates, Adds Record New Users amid Regulatory Tightening https://t.co/F4aU0p5Vuu https://t.co/mv1xYVVWHz",0,0
2021-08-24 07:33:03,"https://t.co/hU429InFde Beats Estimates, Adds Record New Users amid Regulatory Tightening https://t.co/luEnfiolTX https://t.co/6PA62Ihjx0",0,0
2021-08-24 07:32:27,"0/3 
https://t.co/OTJlQhwkI0 should be considered as a Chinese Tech company which contains regulation friendliness.

Why???",4,3
2021-08-24 07:31:57,https://t.co/p1mgQcIqfV Surges After Sales Beat Allays Tech Crackdown Fears https://t.co/H1HZubtFYA,0,0
2021-08-24 07:31:03,"https://t.co/42RaXrGKeQ Beats Estimates, Adds Record New Users amid Regulatory Tightening https://t.co/80DIoFdLJX https://t.co/85DpKWfhzU",0,0
2021-08-24 07:17:39,"PamyBot2:~$ #forex #fx #EA ""https://t.co/AI0NvDNEy1 Shares Soar after Beating Sales Estimates, Acotec Tumbles in HK… https://t.co/v0Lu3R4JRb",0,0
