created_at,text,retweet_count,favourite_count
2021-08-26 18:18:31,"S&amp;P 500 E-mini #Futures #ES_F 🔻21.5 Points (0.48%) to 4,472 #SP500 $SPX $SPY #futurestrading #future #Investment… https://t.co/xBw3l5Ihc2",0,0
2021-08-26 18:17:42,"S&amp;P 500 E-mini #Futures #ES_F 🔻21.5 Points (0.48%) to 4,472 #SP500 $SPX $SPY #futurestrading #future #Investment… https://t.co/2HkgjkUvQm",0,0
2021-08-26 18:15:04,#LEGO #Ninjago #LEGONinjago set 70751 - Temple of Airjitzu Building Instructions #Ninja #Ninjas… https://t.co/RUJxbBbDV9,0,0
2021-08-26 18:11:28,#DJIA (#SP500 #NASDAQ) position (https://t.co/UokBHsdq54) https://t.co/th6Vs8MdOS,0,0
2021-08-26 18:09:15,Any #DJIA #SP500 #NASDAQ funds that beat this as of today ? (https://t.co/UokBHsdq54) https://t.co/Ec9Cl7jqmm,0,0
2021-08-26 18:06:50,"#DAX-26th. After yesterday’s high at 15935 we have been in a corrective downtrend. However, the recovery from the l… https://t.co/MgY4G96NPQ",0,0
2021-08-26 18:05:39,Performance chart vs #DJIA #SP500 #NASDAQ (https://t.co/UokBHsdq54 08/26/2021) https://t.co/UEQRghND0S,0,0
2021-08-26 18:00:38,"Insider longs are heading for the exits, before Friday.
I'm sure it's just a coincidence.

#Indices #ES_F #SP500… https://t.co/RJHgGKV6A5",0,1
2021-08-26 18:00:23,"Current S&amp;P 500 #SP500 Price: $4,482.87 📉",0,0
2021-08-26 18:00:01,"Priced in #Bitcoin 
Aug. 25, 2021

🟡 Gold: 0.037 BTC per ounce
🔵 SP500: 0.092 BTC
⚫️ Crude Oil: 140k sats per barrel https://t.co/9HY6SqegKn",3,20
2021-08-26 17:57:10,Compare with #djia #SP500 #NASDAQ historical performance update: https://t.co/UokBHsdq54 https://t.co/XZA7bR1z0L,0,0
2021-08-26 17:51:37,@DeItaone Still won’t make them out perform the sp500,0,3
2021-08-26 17:49:40,"#US: Market Update

✦ Indices fell sharply after a positive opening
✦ Bomb blast in Afghanistan dampened risk-appet… https://t.co/wiAtlRpZrq",0,0
2021-08-26 17:49:04,The new AlphaChart  #artificialintelligence #ai #spx #sp500 a.i. for investors and traders https://t.co/b8THCLgccu,0,0
2021-08-26 17:45:40,"@DanPriceSeattle Is that chart how you imagine it should look through massive lockdowns, riots, and nonstop crisis.… https://t.co/dag1PzA9Kv",0,0
2021-08-26 17:44:54,"In the #EUA, the #SP500 had a more modest increase of 0.22%, which did not prevent the world's largest stock index… https://t.co/XHgBpaLnzq",0,0
2021-08-26 17:42:45,$QQQ $NQ technically speaking $QQQ like the $SPY and #SP500 are also on a ST sell signal that triggered on the open… https://t.co/9OGtqtfjcS,0,1
2021-08-26 17:42:38,@DanPriceSeattle Well i mean anybody who was invested into the stock market made money last year. It was a money pr… https://t.co/tIGipNP5wy,0,0
2021-08-26 17:29:03,"#LEGO #Ninjago #LEGONinjago set 70751 - Temple of Airjitzu, 2015 Release #Ninja #Ninjas #AFOL #LEGObricks… https://t.co/CkeviXVesb",0,0
2021-08-26 17:19:10,See our page on #LEGO #Ninjago #LEGONinjago Theme!  #Ninja #Ninjas #AFOL #LEGObricks #CollectibleToys #Toys #SP500… https://t.co/mniGqdJeJy,0,0
2021-08-26 17:13:40,"#SP500
Whole view or hole in view... https://t.co/4RHFo6OXUh",0,0
2021-08-26 17:08:06,#SP500 and #Nasdaq #fall from records on Thursday as investors #await #Fed #summit @CNBC https://t.co/RcF2Yz252j,0,0
2021-08-26 17:00:23,"Current S&amp;P 500 #SP500 Price: $4,483.26 📈",0,0
2021-08-26 16:53:49,"On August 30, 2021, Jim R Hatfield will leave a role as #ExecutiveVP/#ChiefAdministrativeOfficer at @PCMLoan. #BoardExAlerts #SP500 $PNW",0,0
2021-08-26 16:22:31,@TOzgokmen Which day you find SP500 getting slow ? It started this week from 4350 and touched 4500 brother is this the weakness ?,0,0
2021-08-26 16:21:02,"$SPY $SPX #SP500 trying hard to negate this mornings sell signal. Needs to push thru, 4492-94 should do it. https://t.co/5C80Om9ejv",0,1
2021-08-26 16:20:06,"#LEGO #LEGOFriendss set 41134 - Heartlake Performance School, 2016 Release #LEGOFriendsAccessories #LEGOFriendsMini… https://t.co/W3E1WYTK65",0,0
2021-08-26 16:15:41,"I just read the SP500 was at 4,500 wtf?! 😫😭",0,0
2021-08-26 16:04:19,@PeterMallouk Ive seen plenty of red days...not sure how SP500 didn't pull back,0,0
2021-08-26 16:02:37,"SP500 advancers/decliners and volume 

@InterestRateArb https://t.co/h7ryUlSboh",2,1
2021-08-26 16:00:35,"Consumer Staples Stocks Based on Pattern Recognition: Returns up to 382.69% in 1 Year
https://t.co/SfzMMsajIh
#CHDN… https://t.co/HE3Kf54Xoj",0,1
2021-08-26 16:00:31,#ES_f 4465 must be JPow or Yellen pending order #SPX #SP500 https://t.co/Mb4u4XSE5U,0,0
2021-08-26 16:00:21,"Current S&amp;P 500 #SP500 Price: $4,482.14 📈",0,0
2021-08-26 15:56:44,@BiBi_webdesign good morning✨,0,0
2021-08-26 15:43:07,Just pure speculation today...#ixic #sp500 #nyse,0,0
2021-08-26 15:33:47,SP500 update 2021-08-26 11:33:47: 1 day(s) added with 505 line(s) retrieved and 505 row(s) uploaded,0,0
2021-08-26 15:31:48,SP500 update 2021-08-26 11:31:48: 8 day(s) uploaded with 3030 line(s) retrieved and 4040 row(s) uploaded,0,0
2021-08-26 15:19:54,"SP500 opening! Works on every asset, all the time, every time! Astro Timing Analysis! https://t.co/P1j80xi3bE",0,0
2021-08-26 15:18:08,"Nasdaq, S&amp;P 500, Dow Jones slump on Kabul explosions $SP500 https://t.co/meiEDJFkPB",0,0
2021-08-26 15:14:02,"$SP500 @ 4486.23 - Ascendis Pharma, Zomedica leads healthcare gainers; Aditxt, Quanterix among major losers https://t.co/NAPSQvDOVF",0,0
2021-08-26 15:11:57,"now, this vol actually is tradable and i obviously couldnt resist 😂📉📈🤑 result for today (final this time, i swear 😉… https://t.co/6pLE4a1EoH",0,0
2021-08-26 15:07:03,Time to Get Selective https://t.co/V1zMCKDYb4 #Investment,1,0
2021-08-26 15:06:05,"#LEGO #LEGOFriends set 41130 - Amusement Park Roller Coaster, 2016 Release #LEGOFriendsAccessories #LEGOFriendsPets… https://t.co/teTEdr6qVW",0,0
2021-08-26 15:05:24,"Big Breaking Now

FED has communicated Taper is Coming - Kaplan

#Nasdaq #SP500 #NIFTY https://t.co/C3bjiJKqJS",0,4
2021-08-26 15:02:34,$SP500 @ 4441.67 - On the hour https://t.co/R7gaci64ZT,0,0
2021-08-26 15:00:26,"Current S&amp;P 500 #SP500 Price: $4,475.75 📉",0,0
2021-08-26 15:00:18,Where do we stand on the #SP500 market-cap-weighted issue? Join me and my colleagues at CFRA’s webinar Weighty Issu… https://t.co/aFUusDui89,0,0
2021-08-26 14:59:06,"$SP500 $DJI - Nasdaq, S&amp;P 500, Dow Jones slump on Kabul explosions https://t.co/X0Y1c8QqY1",0,1
2021-08-26 14:57:07,"SP500 NEXT BOTTOM DATE… A FREEBIE TO THE PUBLIC EYE… GOLD WAVE 1,2,3 SYSTEM. https://t.co/TeSILLcxT0",0,0
2021-08-26 14:54:35,$SPY #SP500 this market is well aware of what happens below 4775-70,0,0
2021-08-26 14:52:46,#DJIA #SP500 #NASDAQ Try this -&gt; https://t.co/UokBHsv0WC https://t.co/G4UFWPwdX5,0,0
2021-08-26 14:50:56,"Shorts finally set up for us. Trgts: $ES_F 58 and 47. 

$ES_F #daytrading #futures #sp500 #EminiVolumeTradingGroup… https://t.co/Lbt63i6cpg",0,2
2021-08-26 14:48:03,"and, just like that, vol is back into the markets.. all it took was some blast in #Afghanistan and a #Fed speaker t… https://t.co/brHY5KuaQT",0,0
2021-08-26 14:47:00,"$HCA. Buy Long at $255.29

$NASDAQ $NYSE $NYQ $NMS 

 #investsySignals #SP500  #NASDAQ100  #Signals #StocksToWatch… https://t.co/TYoFpwvAkp",0,0
2021-08-26 14:45:30,@WClementeIII The answer is here and SP500 https://t.co/FMBQUxwScR,0,0
