created_at,text,retweet_count,favourite_count
2021-08-24 21:52:06,"The Nasdaq surpassed the 15,000 level for the first time ever Tuesday, rising 0.5% thanks to continued strength in… https://t.co/fHOWpFtC4L",34,163
2021-08-25 09:31:14,"US stock futures tread water after S&amp;P 500 hits record high, as focus narrows in on Jerome Powell's Jackson Hole sp… https://t.co/ut4CxI48xn",9,14
2021-08-25 15:30:06,Join me &amp; my @cfraresearch colleagues for the webinar Weighty Issue on Stock Market and Technology on Sept 15. We'l… https://t.co/odlb4RRIeL,0,0
2021-08-25 15:24:51,"@MacroAlf @CyberSpaceGal Based on Pe ratios of Sp500 being at record highs, the opportunity cost is at record lows… https://t.co/xu1mb1YMsH",0,0
2021-08-25 15:22:56,"Excess fiscal and #FederalReserve pumped liquidity bubble still reaching for return, ie more risk  last reverse rep… https://t.co/v284WkzQ2w",0,1
2021-08-25 15:22:06,"#LEGO #LEGOArchitecture #Architecture set 21008 - Burj Khalifa, 2011 Release #LEGOBuildings #AFOL #LEGObricks… https://t.co/DITJx88Et7",0,0
2021-08-25 15:17:25,"@hussmanjp I read today that Wells Fargo upped their year-end SP500 target to 4,825 on solid ongoing earnings at YE… https://t.co/SDkWkv6kmB",0,0
2021-08-25 15:12:55,@APompliano It’s like they converted the SP500 into an #NFT…,0,0
2021-08-25 15:10:25,"$ES1! SFP Signal

Exchange: PRIMEXBT
Symbol: ES1!
Timeframe: 1H
Signal: SFP High

Date: 08/25/2021, 3:10 PM

Trade… https://t.co/o8hxu2pIaM",0,1
2021-08-25 15:05:31,SP500 update 2021-08-25 11:05:31: 1 day(s) added with 505 line(s) retrieved and 505 row(s) uploaded,0,0
2021-08-25 15:04:55,SP500 update 2021-08-25 11:04:55: 8 day(s) uploaded with 3030 line(s) retrieved and 4040 row(s) uploaded,0,0
2021-08-25 15:00:24,"Current S&amp;P 500 #SP500 Price: $4,492.25 📈",0,0
2021-08-25 14:57:06,"Facebook $FB

Block of 27,104 shares at $367.80 worth $9,968,851

#Nasdaq #SP500",0,0
